date,row_id,row_name,total_list_size
01/05/2020,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1786955
01/05/2020,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1468579
01/05/2020,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,803005
01/05/2020,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1239032
01/05/2020,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1038107
01/05/2020,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,1545972
01/05/2020,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,3117275
01/05/2020,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1095081
01/05/2020,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1030413
01/05/2020,QJK,NHS DEVON INTEGRATED CARE BOARD,1246796
01/05/2020,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,794681
01/05/2020,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1164394
01/05/2020,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,2022052
01/05/2020,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1924697
01/05/2020,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1588894
01/05/2020,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,2261729
01/05/2020,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,1683416
01/05/2020,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1066488
01/05/2020,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1158889
01/05/2020,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,801991
01/05/2020,QNX,NHS SUSSEX INTEGRATED CARE BOARD,1790420
01/05/2020,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",508382
01/05/2020,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,3089725
01/05/2020,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1756463
01/05/2020,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",960093
